iter	Passed	Remaining
0	2	291
1	11	544
2	13	445
3	15	380
4	18	350
5	21	334
6	24	323
7	26	308
8	31	315
9	34	312
10	37	299
11	42	313
12	45	302
13	47	292
14	49	282
15	51	271
16	54	265
17	56	258
18	58	251
19	61	244
20	63	238
21	65	232
22	68	229
23	71	226
24	75	227
25	78	222
26	80	217
27	82	212
28	88	217
29	90	212
30	93	207
31	95	201
32	97	197
33	99	193
34	102	190
35	104	185
36	106	181
37	108	177
38	110	173
39	113	170
40	121	175
41	122	169
42	125	165
43	127	162
44	134	164
45	137	161
46	139	157
47	141	153
48	144	150
49	146	146
50	149	143
51	153	141
52	161	143
53	165	141
54	167	137
55	170	134
56	176	133
57	178	129
58	181	125
59	183	122
60	185	118
61	188	115
62	191	112
63	193	108
64	195	105
65	197	101
66	199	98
67	203	95
68	205	92
69	207	89
70	209	85
71	211	82
72	215	79
73	217	76
74	219	73
75	222	70
76	224	67
77	226	63
78	229	61
79	232	58
80	234	54
81	236	51
82	238	48
83	240	45
84	245	43
85	248	40
86	250	37
87	252	34
88	254	31
89	256	28
90	259	25
91	261	22
92	263	19
93	317	20
94	319	16
95	321	13
96	326	10
97	328	6
98	331	3
99	333	0
