iter	Passed	Remaining
0	124	124547
1	127	63427
2	129	43091
3	134	33607
4	138	27465
5	141	23450
6	143	20412
7	149	18500
8	151	16683
9	153	15231
10	156	14057
11	159	13099
12	162	12368
13	167	11801
14	170	11222
15	177	10904
16	179	10389
17	181	9916
18	183	9473
19	185	9077
20	189	8824
21	191	8500
22	193	8199
23	194	7925
24	196	7662
25	198	7419
26	199	7194
27	201	6982
28	204	6861
29	206	6675
30	208	6505
31	209	6340
32	211	6190
33	212	6046
34	214	5908
35	215	5777
36	220	5727
37	221	5615
38	223	5501
39	224	5392
40	226	5289
41	227	5194
42	229	5101
43	233	5067
44	235	4987
45	236	4909
46	239	4847
47	240	4771
48	242	4697
49	243	4627
50	247	4598
51	248	4535
52	250	4472
53	251	4409
54	253	4350
55	254	4294
56	256	4240
57	257	4189
58	259	4138
59	263	4120
60	264	4068
61	265	4020
62	267	3973
63	268	3929
64	270	3887
65	271	3846
66	273	3805
67	277	3806
68	279	3772
69	281	3736
70	282	3699
71	284	3663
72	285	3627
73	287	3592
74	288	3556
75	291	3543
76	293	3522
77	296	3509
78	298	3480
79	300	3452
80	301	3424
81	303	3395
82	304	3361
83	307	3354
84	309	3329
85	310	3303
86	312	3278
87	313	3253
88	315	3229
89	317	3205
90	318	3183
91	322	3183
92	324	3161
93	325	3140
94	328	3125
95	329	3105
96	331	3084
97	332	3062
98	334	3040
99	336	3029
100	338	3009
101	339	2991
102	341	2975
103	343	2957
104	344	2940
105	346	2922
106	349	2917
107	351	2902
108	353	2886
109	354	2869
110	356	2856
111	358	2839
112	359	2823
113	361	2807
114	364	2801
115	365	2788
116	367	2771
117	368	2756
118	370	2742
119	371	2727
120	373	2712
121	374	2695
122	376	2682
123	379	2678
124	380	2664
125	382	2651
126	383	2635
127	384	2622
128	386	2609
129	388	2596
130	389	2585
131	391	2572
132	394	2570
133	395	2558
134	397	2546
135	398	2534
136	400	2522
137	401	2510
138	403	2501
139	405	2489
140	406	2478
141	408	2469
142	410	2460
143	412	2451
144	414	2444
145	416	2437
146	418	2429
147	423	2435
148	424	2426
149	426	2417
150	428	2407
151	429	2396
152	431	2386
153	432	2376
154	434	2366
155	438	2371
156	439	2362
157	441	2351
158	442	2342
159	444	2333
160	445	2320
161	446	2311
162	448	2303
163	450	2293
164	453	2293
165	454	2284
166	456	2275
167	457	2267
168	459	2258
169	460	2250
170	462	2242
171	464	2234
172	467	2236
173	470	2231
174	472	2225
175	475	2225
176	477	2218
177	479	2213
178	482	2214
179	484	2208
180	486	2201
181	488	2196
182	490	2191
183	492	2185
184	494	2179
185	497	2175
186	499	2170
187	500	2163
188	502	2157
189	504	2151
190	506	2146
191	510	2146
192	514	2150
193	517	2149
194	520	2147
195	522	2142
196	526	2147
197	528	2142
198	531	2137
199	533	2135
200	536	2131
201	541	2139
202	544	2136
203	546	2131
204	548	2127
205	551	2126
206	558	2140
207	560	2135
208	562	2129
209	564	2123
210	566	2117
211	568	2111
212	570	2109
213	572	2103
214	574	2098
215	576	2091
216	577	2085
217	579	2077
218	580	2070
219	586	2079
220	588	2074
221	590	2069
222	592	2062
223	593	2056
224	595	2050
225	600	2055
226	601	2049
227	604	2045
228	605	2040
229	607	2033
230	609	2027
231	610	2021
232	615	2027
233	617	2022
234	619	2016
235	621	2013
236	624	2009
237	626	2005
238	631	2009
239	633	2005
240	635	2000
241	637	1995
242	638	1989
243	640	1983
244	643	1983
245	646	1980
246	647	1975
247	649	1969
248	651	1964
249	653	1959
250	654	1953
251	656	1947
252	659	1948
253	661	1943
254	663	1937
255	664	1932
256	666	1926
257	668	1921
258	669	1915
259	671	1910
260	675	1913
261	677	1908
262	679	1903
263	680	1897
264	682	1892
265	683	1886
266	685	1881
267	689	1883
268	692	1881
269	694	1876
270	695	1871
271	697	1866
272	698	1861
273	700	1855
274	704	1857
275	706	1853
276	708	1848
277	709	1843
278	711	1838
279	712	1833
280	714	1828
281	718	1829
282	721	1827
283	723	1823
284	725	1820
285	727	1816
286	729	1811
287	730	1807
288	735	1808
289	736	1803
290	738	1799
